Training loss
Epoch 1: 1.0825659678532527
Epoch 2: 1.0037799645692875
Epoch 3: 1.0004013302998664
Epoch 4: 0.995015527957525
Epoch 5: 0.9948751101127038
Epoch 6: 0.9936306553009229
Epoch 7: 0.9945250153541565
Epoch 8: 0.9917297928761213
Epoch 9: 0.9932032640163715
Epoch 10: 0.9922281457827642
Epoch 11: 0.9864805600582025
Epoch 12: 0.9853204931968298
Epoch 13: 0.9841448679948465
Epoch 14: 0.9895951732611045
Epoch 15: 0.9835641063176669
Epoch 16: 0.9856544030018342
Epoch 17: 0.9857025574415158
Epoch 18: 0.9912587771048913
Epoch 19: 0.9870903812921964
Epoch 20: 0.982633113861084
Epoch 21: 0.9808422510440533
Epoch 22: 0.9782426403119013
Epoch 23: 0.9846864938735962
Epoch 24: 0.9836147121894054
Epoch 25: 0.9748041369976141
Epoch 26: 0.9790216959439791
Epoch 27: 0.9823733293093168
Epoch 28: 0.9797145907695477
Epoch 29: 0.9750101459332001
Epoch 30: 0.9851689063585721
Epoch 31: 0.974986501229115
Epoch 32: 0.9799957703321408
Epoch 33: 0.9829840262730917
Epoch 34: 0.9739406338104835
Epoch 35: 0.9807690137471908
Epoch 36: 0.9821696862196311
Epoch 37: 0.9789212284943997
Epoch 38: 0.9793411860099206
Epoch 39: 0.9739687794294113
Epoch 40: 0.9803016690107492
Epoch 41: 0.9781601215020205
Epoch 42: 0.9770064751307169
Epoch 43: 0.9734751108365182
Epoch 44: 0.9763681307817117
Epoch 45: 0.9886352068338639
Epoch 46: 0.9761280463292048
Epoch 47: 0.975829038864527
Epoch 48: 0.9722305903067956
Epoch 49: 0.9819829861323038
Epoch 50: 0.9789441793392866
Epoch 51: 0.9806655874619117
Epoch 52: 0.9747735154934418
Epoch 53: 0.9742154601292733
Epoch 54: 0.9784787404231536
Epoch 55: 0.9802190218216333
Epoch 56: 0.9811482032140096
Epoch 57: 0.974554567764967
Epoch 58: 0.9750869426971827
Epoch 59: 0.9808068030919784
Epoch 60: 0.9809429003642156
Epoch 61: 0.9790262946715722
Epoch 62: 0.977645395657955
Epoch 63: 0.9787272383005191
Epoch 64: 0.97807460412001
Epoch 65: 0.9712497821220984
Epoch 66: 0.9786909833932534
Epoch 67: 0.976320179609152
Epoch 68: 0.9750023682912191
Epoch 69: 0.9792135770504291
Epoch 70: 0.9789520089442914
Epoch 71: 0.9766720090156946
Epoch 72: 0.9818213520905911
Epoch 73: 0.9749657450578152
Epoch 74: 0.9839409620333941
Epoch 75: 0.9854439007930267
Epoch 76: 0.9746963916680752
Epoch 77: 0.9713493096522796
Epoch 78: 0.9790394459015284
Epoch 79: 0.9783873833142794
Epoch 80: 0.9776326448489459
Epoch 81: 0.9739232246692364
Epoch 82: 0.9802063672970502
Epoch 83: 0.9829550110376798
Epoch 84: 0.9811677306126325
Epoch 85: 0.977495856774159
Epoch 86: 0.9826412689991486
Epoch 87: 0.9769586706772829
Epoch 88: 0.970773241458795
Epoch 89: 0.9744410392565604
Epoch 90: 0.9817500771620334
Epoch 91: 0.976006588874719
Epoch 92: 0.9719216701311942
Epoch 93: 0.9761335360698211
Epoch 94: 0.9787753530037708
Epoch 95: 0.9771599555626894
Epoch 96: 0.9776195669785525
Epoch 97: 0.9816781404690865
